country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1950,,227549730,,2.014,0.009,93.452,16.129,20.859,2465.306,1292.483,110.203,10.835,8.014,,0.411,0.304,,68.711,0.302,,,,18.212,1736.488,26301.52,1633.73,0,1.343,61624.594,83.203,,,,0,0,0.004,0,,,2617.928,11.506,,,,,22.723,0.1,,,,3.007,1.557,21.572,1.782,2.025,0.753,4.328,0.828,0,0.028,16.153,0.303,,0,0.001,48.255,1.379,,,,,
Africa,1951,,232484439,,2.269,0.01,99.862,6.41,6.859,2282.214,-183.092,-7.427,9.817,7.088,,0.43,0.31,,72.305,0.311,,,,20.481,1836.35,28583.732,1706.035,0,1.347,64030.965,108.488,,,,0,0,0.004,0,,,2406.369,10.351,,,,,25.284,0.109,,,,2.992,1.565,19.052,1.781,2.1,0.775,4.613,0.847,0,0.026,16.541,0.372,,0,0.001,42.978,1.451,,,,,
Africa,1952,,237586485,,2.327,0.01,108.882,9.02,9.033,2226.052,-56.162,-2.461,9.37,6.663,,0.458,0.326,,78.939,0.332,,,,22.808,1945.233,30809.785,1784.974,0,1.354,66363.609,136.097,,,,0,0,0.007,0,,,2332.649,9.819,,,,,27.609,0.116,,,,2.879,1.684,18.261,1.969,2.16,0.799,4.876,0.869,0,0.024,16.893,0.439,,0,0.002,40.749,1.502,,,,,
Africa,1953,,242837870,,2.637,0.011,110.796,1.914,1.758,2220.234,-5.817,-0.261,9.144,6.412,,0.456,0.32,,78.902,0.325,,,,25.445,2056.029,33030.02,1863.876,0,1.369,68687.508,165.339,,,,0,0,0.015,0,,,2323.892,9.57,,,,,29.242,0.12,,,,2.942,1.667,17.791,1.951,2.221,0.822,5.126,0.89,0,0.022,17.229,0.502,,0,0.003,39.846,1.498,,,,,
Africa,1954,,248245229,,3.041,0.012,116.157,5.361,4.838,2263.92,43.686,1.968,9.12,6.24,,0.468,0.32,,81.608,0.329,,,,28.486,2172.186,35293.941,1945.484,0,1.391,71048.188,196.825,,,,0,0,0.022,0,,,2360.679,9.51,,,,,31.486,0.127,,,,3.127,1.711,17.696,2.02,2.292,0.845,5.371,0.911,0,0.021,17.557,0.562,,0,0.004,39.32,1.522,,,,,
Africa,1955,,253848117,,3.409,0.013,128.058,11.901,10.246,2328.18,64.26,2.838,9.172,6.209,,0.505,0.341,,91.598,0.361,,,,31.894,2300.244,37622.121,2037.083,0,1.413,73464.523,229.854,,,,0,0,0.022,0,,,2416.335,9.52,,,,,33.03,0.13,,,,3.169,1.72,17.083,2.095,2.362,0.87,5.609,0.935,0,0.019,17.881,0.616,,0,0.004,39.064,1.429,,,,,
Africa,1956,,259631766,,3.517,0.014,133.509,5.451,4.257,2392.255,64.075,2.752,9.215,6.146,,0.514,0.343,,95.502,0.368,,,,35.411,2433.753,40014.375,2132.585,0,1.442,75945.305,264.315,,,,0,0,0.029,0,,,2480.784,9.556,,,,,34.461,0.133,,,,3.016,1.685,16.711,2.077,2.414,0.894,5.841,0.959,0,0.018,18.201,0.663,,0,0.005,38.817,1.374,,,,,
Africa,1957,,265515596,,3.681,0.014,139.953,6.444,4.826,2479.014,86.759,3.627,9.337,6.134,,0.527,0.346,,99.296,0.374,,,,39.092,2573.707,42493.391,2231.88,0,1.464,78515.273,301.27,,,,0,0,0.022,0,,,2569.966,9.68,,,,,36.955,0.139,,,,3.002,1.71,16.786,2.121,2.459,0.917,6.072,0.983,0,0.017,18.525,0.709,,0,0.003,39.042,1.41,,,,,
Africa,1958,,271429963,,3.989,0.015,148.305,8.351,5.967,2633.559,154.545,6.234,9.704,6.378,,0.546,0.359,,103.144,0.38,,,,43.081,2722.011,45126.949,2335.025,0,1.482,81172.914,342.423,,,,0,0,0.018,0,,,2657.646,9.792,,,,,41.153,0.152,,,,3.073,1.762,17.334,2.169,2.505,0.942,6.311,1.007,0,0.016,18.851,0.758,,0,0.003,39.227,1.509,,,,,
Africa,1959,,277648583,,4.189,0.015,147.911,-0.394,-0.265,2863.778,230.218,8.742,10.316,6.587,,0.533,0.34,,101.676,0.366,,,,47.27,2869.922,47990.727,2436.701,0,1.517,83901.867,384.435,,,,0,0,0.035,0,,,2728.947,9.83,,,,,42.011,0.151,,,,2.882,1.67,17.943,2.055,2.535,0.964,6.565,1.029,0,0.015,19.168,0.799,,0,0.005,38.413,1.446,,,,,
Africa,1960,,284288223,,4.399,0.015,156.64,8.73,5.902,2742.435,-121.342,-4.237,9.648,6.039,,0.551,0.345,,103.522,0.364,,,,51.669,3026.562,50733.164,2540.223,0,1.564,86502.312,433.106,,,,0,0,0.047,0,,,2600.451,9.148,,,,,48.672,0.171,,,,2.793,1.669,17.188,2.009,2.555,0.985,6.792,1.05,0,0.015,19.47,0.845,,0,0.006,39.592,1.557,,,,,
Africa,1961,,291177974,,4.3,0.015,162.079,5.438,3.472,2102.533,-639.902,-23.333,7.222,4.533,,0.557,0.349,,105.003,0.361,,,,55.97,3188.641,52835.695,2645.226,0,2.062,88455.008,485.383,,,,0,0,0.498,0.002,,,1952.692,6.707,,,,,52.277,0.18,,,,2.619,1.721,13.543,2.124,2.56,1.007,6.93,1.071,0,0.018,19.64,0.89,,0,0.056,31.98,1.578,,,,,
Africa,1962,,298334455,,4.461,0.015,166.426,4.348,2.683,2073.429,-29.104,-1.384,6.951,4.311,,0.558,0.346,,106.668,0.358,,,,60.431,3355.067,54909.125,2751.894,0,2.802,90374.797,539.941,,,,0,0,0.74,0.002,,,1919.789,6.436,,,,,54.557,0.183,,,,2.528,1.707,13.254,2.164,2.557,1.028,7.057,1.093,0,0.022,19.807,0.929,,0,0.076,32.579,1.532,,,,,
Africa,1963,,305755585,,4.798,0.016,176.448,10.022,6.022,1896.946,-176.483,-8.512,6.205,3.674,,0.577,0.342,,109.186,0.357,,,,65.229,3531.516,56806.066,2861.08,1.147,3.52,92106.477,600.54,,,,1.147,0.004,0.718,0.002,,,1731.68,5.664,,,,,60.599,0.198,,,,2.579,1.718,11.912,2.137,2.559,1.049,7.154,1.113,0.092,0.026,19.939,0.97,,1.267,0.069,30.635,1.592,,,,,
Africa,1964,,313466087,,5.318,0.017,193.764,17.315,9.813,1863.405,-33.541,-1.768,5.945,3.422,,0.618,0.356,,115.604,0.369,,,,70.547,3725.28,58669.473,2976.685,3.024,4.971,93785.281,670.053,,,,1.877,0.006,1.451,0.005,,,1678.808,5.356,,,,,69.514,0.222,,,,2.579,1.789,11.428,2.217,2.56,1.072,7.24,1.135,0.222,0.034,20.065,1.015,,1.664,0.126,30.659,1.692,,,,,
Africa,1965,,321447378,,5.691,0.018,213.785,20.021,10.333,1512.006,-351.399,-18.858,4.704,2.637,3.095,0.665,0.373,0.438,124.891,0.389,,,,76.238,3939.064,60181.48,3101.576,7.972,7.093,95092.086,746.185,,2225.625,,4.948,0.015,2.123,0.007,,,1306.802,4.066,,,,,76.132,0.237,,,715.422,2.629,1.889,9.228,2.359,2.565,1.098,7.28,1.16,0.535,0.044,20.126,1.059,,3.793,0.172,25.792,1.725,,,,,
Africa,1966,,329658389,,5.841,0.018,221.262,7.477,3.497,1489.658,-22.348,-1.478,4.52,2.53,2.944,0.671,0.376,0.437,123.843,0.376,,,,82.079,4160.326,61671.137,3225.419,13.165,9.453,96369.242,830.209,,2272.479,,5.193,0.016,2.36,0.007,,,1277.16,3.875,,,,,84.024,0.255,,,749.142,2.506,1.865,8.912,2.314,2.561,1.122,7.312,1.182,0.805,0.054,20.19,1.104,,3.592,0.176,26.346,1.764,,,,,
Africa,1967,,338159967,,5.964,0.018,237.258,15.996,7.229,1412.259,-77.399,-5.196,4.177,2.353,2.788,0.702,0.395,0.468,127.101,0.376,,,,88.044,4397.583,63083.398,3352.52,33.928,11.772,97553.117,911.32,,2238.106,,20.763,0.061,2.319,0.007,,,1183.875,3.502,,,,,81.11,0.24,,,756.838,2.486,1.938,8.226,2.414,2.556,1.148,7.33,1.206,1.858,0.063,20.229,1.135,,10.883,0.162,24.039,1.598,,,,,
Africa,1968,,346980412,,6.857,0.02,257.6,20.343,8.574,1776.72,364.462,25.807,5.121,2.83,3.305,0.743,0.41,0.479,132.504,0.382,,,,94.901,4655.184,64860.113,3485.024,63.596,14.136,99081.188,997.527,,2303.883,,29.668,0.086,2.364,0.007,,,1528.071,4.405,,,,,86.208,0.248,,,799.402,2.685,1.995,9.932,2.489,2.565,1.176,7.383,1.23,3.132,0.069,20.336,1.163,,14.557,0.152,30.7,1.559,,,,,
Africa,1969,,356070643,,7.895,0.022,278.139,20.539,7.973,1558.297,-218.423,-12.294,4.377,2.299,2.89,0.781,0.41,0.516,135.191,0.38,,,,102.796,4933.323,66418.414,3620.215,101.922,17.026,100369.641,1091.365,,2306.874,,38.326,0.108,2.89,0.008,,,1288.446,3.619,,,,,93.837,0.264,,,821.41,2.916,2.02,8.454,2.448,2.589,1.204,7.405,1.253,4.482,0.077,20.405,1.189,,15.705,0.169,27.614,1.569,,,,,
Africa,1970,,365450443,,8.596,0.024,302.943,24.803,8.918,1512.4,-45.897,-2.945,4.139,2.055,2.608,0.829,0.412,0.522,140.097,0.383,,,,111.391,5236.266,67930.812,3760.312,156.857,17.842,101587.773,1189.863,,2440.146,,54.935,0.15,0.816,0.002,,,1218.134,3.334,,,,,98.498,0.27,,,891.752,2.98,2.033,7.757,2.459,2.615,1.234,7.413,1.276,6.146,0.075,20.461,1.207,,19.779,0.046,26.489,1.448,,,,,
Africa,1971,,375086296,,9.243,0.025,332.204,29.261,9.659,1282.796,-229.604,-15.181,3.421,1.664,2.069,0.886,0.431,0.536,149.906,0.4,,,,120.635,5568.47,69213.609,3910.218,212.833,19.535,102546.93,1305.249,,2539.223,,55.976,0.149,1.693,0.005,,,959.162,2.558,,,,,115.386,0.308,,,952.428,3.047,2.142,6.385,2.63,2.644,1.266,7.391,1.302,7.407,0.076,20.465,1.234,,17.415,0.088,20.916,1.602,,,,,
