country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Asia,1950,,1378554727,,6.325,0.005,475.177,16.578,3.615,2899.682,495.17,20.593,2.103,1.824,,0.345,0.299,,305.209,0.221,,,,89.314,12491.018,95256.445,9771.89,0,57.201,126442.109,2572.613,,,,0,0,5.493,0.004,,,2451.729,1.778,,,,,158.149,0.115,,,,9.444,7.915,25.373,7.915,9.931,5.414,15.676,4.952,0,1.177,33.142,9.38,,0,1.556,45.192,9.595,,,,,
Asia,1951,,1405143078,,8.663,0.006,455.045,-20.131,-4.237,3079.898,180.216,6.215,2.192,1.759,,0.324,0.26,,351.857,0.25,,,,97.977,12946.063,98336.344,10123.747,0,63.312,129095.953,2661.026,,,,0,0,6.112,0.004,,,2653.835,1.889,,,,,88.413,0.063,,,,11.423,7.133,25.711,8.666,10.047,5.46,15.87,5.027,0,1.2,33.348,9.123,,0,1.469,47.398,5.074,,,,,
Asia,1952,,1434494047,,9.561,0.007,504.698,49.653,10.912,3278.676,198.778,6.454,2.286,1.733,,0.352,0.267,,390.224,0.272,,,,107.537,13450.761,101615.016,10513.971,0,69.972,131899.344,2759.281,,,,0,0,6.659,0.005,,,2803.4,1.954,,,,,98.255,0.068,,,,11.826,7.806,26.896,9.734,10.183,5.522,16.082,5.119,0,1.223,33.576,8.899,,0,1.489,48.973,5.346,,,,,
Asia,1953,,1465867616,,11.407,0.008,540.253,35.554,7.045,3474.201,195.525,5.964,2.37,1.683,,0.369,0.262,,406.514,0.277,,,,118.945,13991.015,105089.219,10920.486,0,77.434,134866.047,2874.149,,,,0,0,7.463,0.005,,,2966.704,2.024,,,,,114.868,0.078,,,,12.727,8.127,27.838,10.053,10.382,5.592,16.31,5.214,0,1.249,33.829,8.72,,0,1.573,50.868,5.884,,,,,
Asia,1954,,1498211442,,13.691,0.009,592.035,51.783,9.585,3651.856,177.655,5.114,2.437,1.753,,0.395,0.284,,436.488,0.291,,,,132.636,14583.049,108741.078,11356.973,0,85.726,137964.172,3007.715,,,,0,0,8.291,0.006,,,3098.132,2.068,,,,,133.565,0.089,,,,14.081,8.719,28.544,10.805,10.671,5.674,16.548,5.32,0,1.28,34.093,8.587,,0,1.654,51.604,6.457,,,,,
Asia,1955,,1532368957,,14.24,0.009,674.786,82.751,13.977,3873.803,221.947,6.078,2.528,1.758,,0.44,0.306,,476.303,0.311,,,,146.876,15257.836,112614.875,11833.276,11.641,96.828,141176.266,3169.215,,,,11.641,0.008,11.102,0.007,,,3212.082,2.096,,,,,161.501,0.105,,,,13.238,9.066,28.424,10.892,10.876,5.77,16.79,5.432,2.353,1.336,34.361,8.487,,12.021,2.029,51.929,6.986,,,,,
Asia,1956,,1566934853,,17.006,0.011,749.28,74.494,11.04,4083.201,209.398,5.405,2.606,1.737,,0.478,0.319,,521.408,0.333,,,,163.881,16007.116,116698.078,12354.685,24.395,110.448,144522.438,3353.706,,,,12.754,0.008,13.621,0.009,,,3346.185,2.135,,,,,184.491,0.118,,,,14.582,9.456,28.523,11.342,11.17,5.877,17.035,5.554,4.047,1.41,34.637,8.416,,11.791,2.32,52.358,7.356,,,,,
Asia,1957,,1603074679,,19.682,0.012,843.53,94.25,12.579,4304.551,221.35,5.421,2.685,1.765,,0.526,0.346,,592.389,0.37,,,,183.563,16850.645,121002.633,12947.073,33.059,128.307,147995.859,3558.644,,,,8.664,0.005,17.858,0.011,,,3473.399,2.167,,,,,204.938,0.128,,,,16.052,10.305,29.147,12.653,11.547,6.006,17.29,5.7,4.661,1.513,34.918,8.379,,8.144,2.762,52.766,7.818,,,,,
Asia,1958,,1639899539,,22.114,0.013,1137.921,294.391,34.9,4728.099,423.547,9.84,2.883,1.876,,0.694,0.452,,861.175,0.525,,,,205.677,17988.566,125730.734,13808.249,42.93,150.31,151598.547,3781.402,,,,9.871,0.006,22.003,0.013,,,3602.701,2.197,,,,,222.758,0.136,,,,17.04,13.518,31.121,18.113,11.962,6.225,17.584,5.955,5.337,1.636,35.206,8.367,,10.378,3.117,53.177,8.171,,,,,
Asia,1959,,1672174028,,26.272,0.016,1373.618,235.697,20.713,5228.439,500.341,10.582,3.127,2.011,,0.821,0.528,,1061.559,0.635,,,,231.949,19362.186,130959.172,14869.807,54.138,176.708,155469.828,4029.584,,,,11.208,0.007,26.398,0.016,,,3871.272,2.315,,,,,248.182,0.148,,,,18.077,15.51,32.759,21.454,12.438,6.501,17.916,6.279,6.042,1.777,35.519,8.377,,12.224,3.482,54.492,8.544,,,,,
