country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Europe,1950,,550217528,,32.806,0.06,2383.495,140.526,6.265,2738.097,293.095,11.988,4.978,1.152,,4.334,1.003,,2057.77,3.741,,,,405.632,115109.922,227464.844,110074.453,0,180.958,124285.555,4448.874,,,,0,0,19.997,0.036,,,354.675,0.645,,,,,272.921,0.496,,,,48.979,39.703,23.959,53.362,45.102,49.892,37.432,55.782,0,3.724,32.577,16.221,,0,5.662,6.538,16.558,,,,,
Europe,1951,,555061176,,36.856,0.066,2630.407,246.912,10.359,3078.367,340.271,12.427,5.548,1.221,,4.741,1.043,,2251.639,4.058,,,,442.487,117740.32,230543.203,112326.094,0,203.645,124733.586,4768.099,,,,0,0,22.687,0.041,,,448.034,0.807,,,,,319.226,0.575,,,,48.597,41.23,25.698,55.459,45.374,49.659,37.205,55.776,0,3.86,32.221,16.346,,0,5.451,8.002,18.322,,,,,
Europe,1952,,560119239,,40.054,0.072,2714.196,83.789,3.185,3280.247,201.88,6.558,5.859,1.238,,4.848,1.025,,2299.445,4.107,,,,482.541,120454.523,233823.453,114625.539,0,228.851,125299.711,5117.588,,,,0,0,25.206,0.045,,,566.125,1.011,,,,,349.49,0.624,,,,49.547,41.978,26.909,57.356,45.693,49.455,37.007,55.807,0,3.999,31.896,16.504,,0,5.638,9.89,19.014,,,,,
Europe,1953,,565576038,,44.577,0.079,2791.717,77.521,2.856,3415.256,135.01,4.116,6.041,1.224,,4.938,1.001,,2333.933,4.128,,,,527.118,123246.242,237238.719,116959.469,0,258.902,125923.328,5500.745,,,,0,0,30.051,0.053,,,623.613,1.103,,,,,383.156,0.678,,,,49.735,41.995,27.366,57.718,46.009,49.257,36.82,55.844,0,4.178,31.586,16.689,,0,6.333,10.693,19.628,,,,,
Europe,1954,,571196738,,48.166,0.084,2970.267,178.551,6.396,3662.36,247.104,7.235,6.414,1.246,,5.202,1.01,,2447.95,4.287,,,,575.284,126216.5,240901.062,119407.422,0,292.301,126615.492,5941.497,,,,0,0,33.399,0.058,,,692.166,1.212,,,,,440.752,0.772,,,,49.538,43.745,28.626,60.6,46.285,49.111,36.661,55.934,0,4.364,31.288,16.962,,0,6.662,11.529,21.307,,,,,
Europe,1955,,576839468,,54.193,0.094,3233.961,263.694,8.878,3992.446,330.085,9.013,6.924,1.275,,5.608,1.033,,2626.016,4.554,,,,629.478,129450.469,244893.516,122033.438,0,331.346,127374.047,6456.203,,,,0,0,39.045,0.068,,,758.558,1.316,,,,,514.706,0.893,,,,50.382,43.448,29.294,60.054,46.612,48.952,36.511,56.016,0,4.573,31.002,17.29,,0,7.135,12.263,22.264,,,,,
Europe,1956,,582519126,,57.397,0.099,3445.533,211.571,6.542,4261.066,268.62,6.728,7.318,1.307,,5.917,1.057,,2751.976,4.726,,,,686.875,132896,249154.578,124785.406,0,379.233,128189.664,7044.477,,,,0,0,47.887,0.082,,,815.606,1.401,,,,,588.273,1.01,,,,49.215,43.481,29.766,59.863,46.819,48.793,36.37,56.096,0,4.841,30.722,17.678,,0,8.155,12.762,23.455,,,,,
Europe,1957,,588264855,,60.761,0.103,3593.582,148.049,4.297,4473.162,212.096,4.978,7.607,1.309,,6.111,1.052,,2820.257,4.796,,,,747.636,136489.578,253627.75,127605.672,0,443.518,129069.312,7692.755,,,,0,0,64.286,0.109,,,879.653,1.496,,,,,648.278,1.102,,,,49.556,43.902,30.289,60.239,47.03,48.65,36.242,56.181,0,5.23,30.453,18.114,,0,9.941,13.363,24.731,,,,,
Europe,1958,,594232829,,64.126,0.108,3632.047,38.465,1.07,4524.011,50.849,1.137,7.616,1.288,,6.114,1.034,,2762.464,4.65,,,,811.761,140121.625,258151.75,130368.133,0,527.45,129961.344,8414.28,,,,0,0,83.932,0.141,,,892.037,1.502,,,,,721.526,1.215,,,,49.413,43.148,29.778,58.104,47.21,48.49,36.104,56.221,0,5.742,30.181,18.617,,0,11.891,13.167,26.465,,,,,
Europe,1959,,600259337,,72.47,0.121,3713.581,81.533,2.245,4930.249,406.238,8.98,8.217,1.337,,6.189,1.007,,2734.221,4.557,,,,884.232,143835.203,263082,133102.359,0,631.091,131178.094,9217.53,,,,0,0,103.64,0.173,,,1216.741,2.028,,,,,803.249,1.339,,,,49.864,41.932,30.89,55.259,47.417,48.295,35.99,56.201,0,6.346,29.969,19.163,,0,13.669,17.127,27.654,,,,,
