country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
North America,1950,,217078493,,22.44,0.103,2744.778,391.922,16.657,4081.978,439.028,12.051,18.823,1.541,,12.657,1.036,,1356.235,6.254,,,,348.37,98016.594,239663.234,73488.461,45.8,4550.383,151937.25,19453.824,129.756,,,45.8,0.211,325.222,1.5,,,1340.767,6.182,,,,,990.094,4.565,0.023,4.988,,33.502,45.721,35.718,35.17,38.735,42.483,39.44,37.242,62.208,93.637,39.825,70.929,100,62.208,92.09,24.714,60.067,100,,,,
North America,1951,,220921951,,24.49,0.111,2840.785,96.007,3.498,4111.122,29.144,0.714,18.612,1.445,,12.861,0.999,,1311.059,5.936,,,,372.86,100857.375,243774.359,74799.516,92.179,4933.242,153210.391,20524.32,135.257,,,46.379,0.21,382.859,1.733,,,1273.13,5.764,,,,,1070.496,4.846,0.025,5.501,,32.292,44.528,34.32,32.292,38.234,42.538,39.341,37.142,60.052,93.507,39.578,70.362,100,58.064,91.992,22.738,61.44,100,,,,
North America,1952,,225040618,,24.93,0.111,2768.315,-72.47,-2.551,4089.954,-21.168,-0.515,18.178,1.382,,12.304,0.936,,1166.979,5.187,,,,397.79,103625.688,247864.312,75966.5,141.647,5343.17,154534.188,21635.975,140.612,,,49.468,0.22,409.929,1.822,,,1323.803,5.884,,,,,1111.655,4.941,0.024,5.355,,30.839,42.815,33.551,29.109,37.668,42.546,39.229,36.985,59.3,93.365,39.338,69.777,100,57.949,91.689,23.126,60.481,100,,,,
North America,1953,,229381691,,26.504,0.116,2832.062,63.746,2.303,4065.83,-24.124,-0.59,17.728,1.317,,12.349,0.917,,1152.006,5.023,,,,424.294,106457.75,251930.125,77118.508,190.202,5774.356,155769.797,22803.33,147.067,,,48.555,0.212,431.185,1.88,,,1235.611,5.388,,,,,1167.356,5.09,0.028,6.455,,29.571,42.602,32.579,28.489,37.034,42.547,39.1,36.821,59.399,93.174,39.072,69.186,100,59.688,90.866,21.186,59.8,100,,,,
North America,1954,,234024926,,27.202,0.116,2718.353,-113.709,-4.015,3947.217,-118.613,-2.917,16.87,1.28,,11.618,0.882,,996.425,4.259,,,,451.496,109176.102,255877.344,78114.922,232.902,6227.501,157000.672,23996.492,152.788,,,42.7,0.182,453.145,1.937,,,1230.884,5.261,,,,,1193.16,5.099,0.024,5.721,,27.976,40.035,30.853,24.667,36.326,42.481,38.94,36.591,58.544,92.965,38.797,68.506,100,55.018,90.385,20.502,57.681,100,,,,
North America,1955,,238891598,,30.135,0.126,2966.39,248.037,9.125,4164.236,217.019,5.498,17.435,1.26,,12.42,0.897,,1101.37,4.611,,,,481.63,112142.492,260041.594,79216.297,281.446,6717.42,158201.234,25285.945,159.756,,,48.544,0.203,489.919,2.051,,,1200.546,5.026,,,,,1289.453,5.399,0.029,6.968,,28.015,39.853,30.555,25.187,35.664,42.407,38.769,36.362,56.897,92.706,38.505,67.718,100,50.131,89.527,19.409,55.775,100,,,,
North America,1956,,243833832,,32.475,0.133,3124.206,157.815,5.32,4317.71,153.474,3.686,17.711,1.272,,12.815,0.921,,1149.854,4.717,,,,514.105,115266.695,264359.281,80366.148,335.831,7235.381,159398.219,26648.436,166.798,,,54.385,0.223,517.961,2.125,,,1196.992,4.91,,,,,1362.49,5.589,0.029,7.042,,27.846,39.426,30.162,25.012,35.042,42.32,38.589,36.128,55.709,92.368,38.202,66.875,100,50.275,88.204,18.729,54.325,100,,,,
North America,1957,,248844412,,31.745,0.128,3103.421,-20.784,-0.665,4273.109,-44.601,-1.033,17.175,1.231,,12.474,0.894,,1092.359,4.391,,,,545.85,118370.125,268632.406,81458.508,389.638,7790.68,160571.656,28011.824,173.619,,,53.806,0.216,555.299,2.232,,,1173.433,4.716,,,,,1363.391,5.48,0.027,6.822,,25.891,37.913,28.935,23.332,34.337,42.192,38.386,35.864,54.939,91.873,37.886,65.958,100,50.577,85.871,17.826,52.013,100,,,,
North America,1958,,254195090,,32.588,0.128,3022.85,-80.571,-2.596,4184.585,-88.524,-2.072,16.465,1.21,,11.894,0.874,,948.779,3.733,,,,578.437,121392.969,272817,82407.281,435.251,8380.671,161737.641,29411.543,179.781,,,45.613,0.179,589.99,2.321,,,1165.995,4.588,,,,,1399.719,5.507,0.024,6.161,,25.111,35.911,27.544,19.956,33.64,42.009,38.155,35.538,54.113,91.236,37.56,65.076,100,47.956,83.589,17.21,51.34,100,,,,
North America,1959,,259556906,,35.162,0.135,3115.07,92.22,3.051,4259.288,74.703,1.785,16.413,1.152,,12.004,0.843,,967.939,3.73,,,,613.599,124508.047,277076.281,83375.227,477.991,8997.707,162891.219,30855.447,188.069,,,42.741,0.165,617.037,2.378,,,1153.574,4.445,,,,,1443.903,5.564,0.032,8.289,,24.194,35.174,26.686,19.562,32.904,41.805,37.905,35.204,53.346,90.485,37.214,64.148,100,46.612,81.379,16.238,49.71,100,,,,
